"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"4530","sp8844",8844,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","tephrensis","soil_saprotroph",NA,NA,NA,NA,NA,NA
"4531","sp8845",8845,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4532","sp8846",8846,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4533","sp8847",8847,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4534","sp8848",8848,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4535","sp8851",8851,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4536","sp8854",8854,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnum","virgineum","litter_saprotroph","wood_saprotroph",NA,NA,"apothecium_(hymenium_on_surface)",NA,NA
"4537","sp8855",8855,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4538","sp8856",8856,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","wieringae","unspecified_saprotroph",NA,NA,NA,"none",NA,NA
"4539","sp8858",8858,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4540","sp8860",8860,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Lecanicillium","saksenae","animal_parasite","animal_decomposer",NA,NA,NA,NA,NA
"4541","sp8861",8861,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","echinulatum","soil_saprotroph","root_endophyte",NA,NA,NA,NA,NA
"4542","sp8862",8862,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4543","sp8864",8864,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Lecanicillium","dimorphum","animal_parasite","animal_decomposer",NA,NA,NA,NA,NA
"4544","sp8865",8865,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","incarnata","wood_saprotroph","plant_pathogen","white_rot",NA,"corticioid",NA,NA
"4545","sp8866",8866,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","plantaginis","wood_saprotroph","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4546","sp8869",8869,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","rhodogenum","soil_saprotroph","root_endophyte",NA,NA,NA,NA,NA
"4547","sp8871",8871,"Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","fragilis","soil_saprotroph",NA,"mold",NA,"none",NA,NA
"4548","sp8876",8876,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia",NA,"wood_saprotroph",NA,NA,NA,"corticioid",NA,NA
"4549","sp8878",8878,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia",NA,"wood_saprotroph",NA,NA,NA,"corticioid",NA,NA
"4550","sp8879",8879,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe",NA,"plant_pathogen","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4551","sp8880",8880,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia",NA,"wood_saprotroph",NA,NA,NA,"corticioid",NA,NA
"4552","sp8885",8885,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium",NA,"unspecified_saprotroph",NA,NA,NA,"none",NA,NA
"4553","sp8888",8888,"Fungi","Monoblepharomycota","Monoblepharidomycetes","Monoblepharidales","Harpochytriaceae","Harpochytrium",NA,"litter_saprotroph","algal_decomposer",NA,NA,"zoosporangium",NA,NA
"4554","sp8889",8889,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","infectoria","plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4555","sp8890",8890,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","juniana","soil_saprotroph",NA,NA,NA,"agaricoid",NA,NA
"4556","sp8892",8892,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","viticola","unspecified_saprotroph","animal_decomposer","other",NA,"other",NA,NA
"4557","sp8893",8893,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,NA,NA,NA
"4558","sp8894",8894,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","aculeatus","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4559","sp8895",8895,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora",NA,"litter_saprotroph",NA,NA,NA,NA,NA,NA
"4560","sp8900",8900,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4561","sp8902",8902,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Candida","subhashii","nectar/tap_saprotroph",NA,NA,NA,"none",NA,NA
"4562","sp8903",8903,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","janczewskii","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4563","sp8905",8905,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria",NA,"plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4564","sp8910",8910,"Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","schulzeri","soil_saprotroph",NA,NA,NA,"none",NA,NA
"4565","sp8911",8911,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,"litter_saprotroph","plant_pathogen",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4566","sp8915",8915,"Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia","koreana","soil_saprotroph",NA,"mold",NA,"none",NA,NA
"4567","sp8916",8916,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4568","sp8918",8918,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","caulivorum","sooty_mold","litter_saprotroph",NA,NA,NA,NA,NA
"4569","sp8919",8919,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","circinata","plant_pathogen","foliar_endophyte","soft_rot",NA,NA,NA,NA
"4570","sp8921",8921,"Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Gaeumannomyces",NA,"plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4571","sp8923",8923,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4572","sp8925",8925,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","macrodidyma","plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4573","sp8930",8930,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4574","sp8931",8931,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","xenobiotica","animal_parasite","litter_saprotroph",NA,NA,NA,NA,NA
"4575","sp8932",8932,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","pleiospora","dung_saprotroph","foliar_endophyte",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4576","sp8935",8935,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"4577","sp8936",8936,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4578","sp8939",8939,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","macrodidyma","plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4579","sp8940",8940,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4580","sp8942",8942,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"4581","sp8943",8943,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","paisii","soil_saprotroph","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4582","sp8944",8944,"Fungi","Monoblepharomycota","Monoblepharidomycetes","Monoblepharidales","Harpochytriaceae","Harpochytrium",NA,"litter_saprotroph","algal_decomposer",NA,NA,"zoosporangium",NA,NA
"4583","sp8947",8947,"Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Udeniozyma",NA,"unspecified",NA,NA,NA,"none",NA,NA
"4584","sp8948",8948,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","tenuissima","plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4585","sp8949",8949,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4586","sp8950",8950,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","cecidicola","unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"4587","sp8951",8951,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4588","sp8952",8952,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","terrea","soil_saprotroph","epiphyte",NA,NA,"none",NA,NA
"4589","sp8954",8954,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4590","sp8957",8957,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Pleurophoma","ossicola","plant_pathogen","wood_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4591","sp8959",8959,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"4592","sp8960",8960,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","circinatum","wood_saprotroph","litter_saprotroph","soft_rot",NA,NA,NA,NA
"4593","sp8963",8963,"Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Occultifur","tropicalis","mycoparasite","litter_saprotroph",NA,NA,"none",NA,NA
"4594","sp8965",8965,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/laccaria"
"4595","sp8966",8966,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/laccaria"
"4596","sp8967",8967,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/laccaria"
"4597","sp8968",8968,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","flavipes","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4598","sp8969",8969,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4599","sp8970",8970,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","cepa","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4600","sp8976",8976,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","neocrassum","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4601","sp8980",8980,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pseudopyrenochaetaceae","Pseudopyrenochaeta","terrestris","unspecified_saprotroph",NA,NA,NA,NA,NA,NA
"4602","sp8982",8982,"Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","schulzeri","soil_saprotroph",NA,NA,NA,"none",NA,NA
"4603","sp8986",8986,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cuniculitremaceae","Kockovaella",NA,"epiphyte","unspecified_saprotroph",NA,NA,NA,NA,NA
"4604","sp8988",8988,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","crustuliniforme","ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/hebeloma-alnicola"
"4605","sp8990",8990,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4606","sp8991",8991,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces",NA,"unspecified_saprotroph",NA,"mold",NA,NA,NA,NA
"4607","sp8992",8992,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","albobadia","wood_saprotroph","plant_pathogen","white_rot",NA,"corticioid",NA,NA
"4608","sp8995",8995,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4609","sp8996",8996,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","infectoria","plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4610","sp8997",8997,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Uwebraunia","communis","litter_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4611","sp8998",8998,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Basidioascus","undulatus","soil_saprotroph",NA,NA,NA,"none",NA,NA
"4612","sp9000",9000,"Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Dinemasporium","morbidum","litter_saprotroph","wood_saprotroph",NA,NA,"other",NA,NA
"4613","sp9002",9002,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dactylonectria","macrodidyma","plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4614","sp9003",9003,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Mycoarachis","inversa","dung_saprotroph",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4615","sp9004",9004,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria",NA,"plant_pathogen","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4616","sp9005",9005,"Fungi","Ascomycota","Sordariomycetes","Phomatosporales","Phomatosporaceae","Phomatospora","biseriata","wood_saprotroph","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4617","sp9006",9006,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","cavaraeanum","unspecified_saprotroph","foliar_endophyte","soft_rot",NA,NA,NA,NA
"4618","sp9007",9007,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","toxica","plant_pathogen","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4619","sp9010",9010,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","pleiospora","dung_saprotroph","foliar_endophyte",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4620","sp9015",9015,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","nyingchiensis","soil_saprotroph","root_endophyte_dark_septate",NA,NA,NA,NA,NA
"4621","sp9017",9017,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","maotaiensis","litter_saprotroph",NA,NA,NA,NA,NA,NA
"4622","sp9018",9018,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Papulaspora","byssina","wood_saprotroph","foliar_endophyte","mold",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4623","sp9019",9019,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Choiromyces",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","contact","/tuber-helvella"
"4624","sp9023",9023,"Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Verrucaria","ceuthocarpa","lichenized",NA,NA,NA,NA,NA,NA
"4625","sp9025",9025,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4626","sp9027",9027,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"4627","sp9029",9029,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4628","sp9033",9033,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Kuehneromyces","mutabilis","wood_saprotroph",NA,"white_rot",NA,"agaricoid",NA,NA
"4629","sp9039",9039,"Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina",NA,"plant_pathogen",NA,NA,NA,NA,NA,NA
"4630","sp9044",9044,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Astraeaceae","Astraeus",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4631","sp9045",9045,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Cuphophyllus",NA,"soil_saprotroph","unspecified_symbiotroph",NA,NA,"agaricoid",NA,NA
"4632","sp9049",9049,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha",NA,"litter_saprotroph","wood_saprotroph",NA,"mosses","apothecium_(hymenium_on_surface)",NA,NA
"4633","sp9050",9050,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","areolatum","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4634","sp9052",9052,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","ostianus","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4635","sp9053",9053,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"4636","sp9054",9054,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","janczewskii","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4637","sp9055",9055,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema","fonsecae","mycoparasite","fungal_decomposer",NA,NA,NA,NA,NA
"4638","sp9057",9057,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","janczewskii","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4639","sp9060",9060,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","xenobiotica","animal_parasite","litter_saprotroph",NA,NA,NA,NA,NA
"4640","sp9063",9063,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",NA,"soil_saprotroph",NA,NA,NA,"none",NA,NA
"4641","sp9065",9065,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Gyoerffyella",NA,"litter_saprotroph","root_endophyte",NA,NA,NA,NA,NA
"4642","sp9066",9066,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","dimennae","soil_saprotroph",NA,NA,NA,NA,NA,NA
"4643","sp9067",9067,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Hydnoplicata",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_coarse","/terfezia-peziza_depressa"
"4644","sp9071",9071,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Hydnoplicata",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_coarse","/terfezia-peziza_depressa"
"4645","sp9072",9072,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4646","sp9073",9073,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Lyophyllum","semitale","ectomycorrhizal",NA,NA,NA,"agaricoid","medium-distance_fringe","/paralyophyllum"
"4647","sp9074",9074,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Genolevuria",NA,"unspecified_saprotroph","epiphyte",NA,NA,NA,NA,NA
"4648","sp9078",9078,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","psychrophila","animal_parasite","litter_saprotroph",NA,NA,NA,NA,NA
"4649","sp9079",9079,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","ovatus","soil_saprotroph",NA,NA,NA,"agaricoid",NA,NA
"4650","sp9080",9080,"Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodosporidiobolus","colostri","unspecified_saprotroph",NA,NA,NA,"none",NA,NA
"4651","sp9081",9081,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Hydnoplicata",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_coarse","/terfezia-peziza_depressa"
"4652","sp9082",9082,"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","ligniaria","unspecified_saprotroph","foliar_endophyte",NA,NA,"cleistothecium_(closed,_spherical)",NA,NA
"4653","sp9083",9083,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"4654","sp9084",9084,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","flavipes","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4655","sp9087",9087,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","inflatum","animal_parasite","animal_decomposer",NA,NA,"none",NA,NA
"4656","sp9088",9088,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","lagena","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"4657","sp9089",9089,"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Pestalotiopsidaceae","Neopestalotiopsis","mesopotamica","plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4658","sp9090",9090,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Collariella","hilkhuijsenii","soil_saprotroph",NA,NA,NA,"none",NA,NA
"4659","sp9091",9091,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_fam_Incertae_sedis","Microcyclospora",NA,"plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"4660","sp9096",9096,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"4661","sp9097",9097,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria","borealis","litter_saprotroph","plant_pathogen","white_rot",NA,"agaricoid",NA,NA
"4662","sp9098",9098,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hebeloma","crustuliniforme","ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/hebeloma-alnicola"
"4663","sp9099",9099,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Pholiota","lenta","wood_saprotroph","litter_saprotroph","white_rot",NA,"agaricoid",NA,NA
