"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"201","sp288",288,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","cereale","soil_saprotroph","root_endophyte",NA,NA,NA,NA,NA
"202","sp291",291,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","flavipes","unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"203","sp292",292,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","aeria","soil_saprotroph","epiphyte",NA,NA,"none",NA,NA
"204","sp293",293,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"205","sp294",294,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","sclerotigenum","unspecified_saprotroph","foliar_endophyte","soft_rot",NA,NA,NA,NA
"206","sp295",295,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","arhizus","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"207","sp297",297,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Hydnoplicata",NA,"ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_coarse","/terfezia-peziza_depressa"
"208","sp298",298,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA,"unspecified_saprotroph","foliar_endophyte","mold",NA,NA,NA,NA
"209","sp301",301,"Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Occultifur",NA,"mycoparasite","litter_saprotroph",NA,NA,"none",NA,NA
"210","sp303",303,"Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella","cucumerina","plant_pathogen","litter_saprotroph",NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"211","sp310",310,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Spiromastix",NA,"soil_saprotroph",NA,NA,NA,"cleistothecium_(closed,_spherical)",NA,NA
"212","sp313",313,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium",NA,"wood_saprotroph","litter_saprotroph","soft_rot",NA,NA,NA,NA
"213","sp314",314,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","nigrescens","wood_saprotroph",NA,"soft_rot",NA,"none",NA,NA
